calendar_yr,employee_cnt,production_cnt
1983,187962,758941075
1984,194606,878477149
1985,183360,857112911
1986,172224,871085974
1987,158976,897953957
1988,151133,938937713
1989,145398,968472034
1990,146491,1017794039
1991,134627,986053196
1992,125430,986648458
1993,110922,940356781
1994,112585,1029338741
1995,103066,1029382678
1996,96316,1063348081
1997,93970,1091247875
1998,89913,1119057885
1999,82924,1098440155
2000,76004,1078085604
2001,79715,1128008706
2002,78256,1093646425
2003,73930,1070320113
2004,76448,1110886508
2005,82040,1133233210
2006,85782,1162545656
2007,84039,1146385862
2008,90206,1172409832
2009,90826,1074680356
2010,89437,1086289185
2011,94857,1094930096
2012,92527,1017761505
2013,83045,983998063
2014,77475,1000052461
2015,68416,896752414
2016,54045,728318116
2017,55083,772146061
